soil_vwc,soil_temperature,temperature,rh,rain,wind_speed,doy,hour
22.0,13.0,12.5,80.5,0,2,3,15
22.0,13.5,12.05,83.25,0,1,3,16
22.0,13.5,11.55,84.25,0,0,3,17
22.5,14.0,11.2,84.75,0,0,3,18
22.33,14.33,11.27,85.67,0,0,3,19
22.0,14.5,11.25,85.0,0,0,3,20
22.0,14.0,11.25,84.75,0,0,3,21
22.0,14.5,11.15,85.0,0,0,3,22
22.0,14.0,11.1,85.25,0,0,3,23
22.0,14.0,11.0,86.0,0,0,4,0
22.0,14.0,11.03,85.33,0,0,4,1
22.0,14.5,10.95,84.75,0,0,4,2
22.0,14.0,10.85,84.0,0,0,4,3
22.0,14.0,10.9,84.17,0,0,4,4
22.0,14.0,10.8,85.0,0,0,4,5
22.0,14.33,10.97,84.17,0,0,4,6
22.0,14.5,10.75,86.25,0,0,4,7
22.0,15.0,11.3,85.0,0,0,4,8
22.0,14.5,12.0,81.5,0,0,4,9
22.0,14.0,13.55,77.75,0,0,4,10
21.33,13.67,16.6,67.17,0,1,4,11
22.0,14.0,17.9,61.0,0,0,4,12
21.0,13.0,17.8,58.5,0,1,4,13
22.0,13.67,15.87,70.0,0,2,4,14
22.0,14.0,15.6,70.0,0,1,4,15
22.0,14.0,14.3,75.5,0,0,4,16
22.0,14.0,12.65,80.75,0,0,4,17
22.0,15.33,8.93,91.0,0,0,4,18
22.0,15.33,7.13,92.33,0,0,4,19
22.0,15.0,6.3,94.0,0,0,4,20
22.5,15.5,5.85,94.25,0,0,4,21
22.0,15.33,5.2,94.5,0,0,4,22
22.0,15.33,4.17,94.0,0,0,4,23
22.0,15.0,4.27,93.33,0,0,5,0
22.0,15.33,4.47,92.5,0,0,5,1
22.0,15.5,4.0,92.75,0,0,5,2
22.0,16.0,3.87,91.5,0,0,5,3
22.0,15.0,3.8,91.83,0,0,5,4
22.0,14.5,4.3,91.0,0,0,5,5
22.0,14.33,3.77,90.5,0,0,5,6
21.5,14.5,11.95,76.25,0,1,5,7
21.0,13.0,14.2,87.5,0,4,5,8
21.5,13.0,14.25,88.0,0,4,5,9
21.33,13.0,15.87,79.67,0,4,5,10
21.5,12.5,14.55,75.25,0,5,5,11
21.5,13.5,14.9,71.0,0,6,5,12
21.5,12.5,14.7,69.0,0,6,5,13
21.5,13.0,13.5,75.0,0,4,5,14
21.5,13.5,13.1,71.0,0,3,5,15
22.0,14.0,11.5,74.0,0,2,5,16
22.0,13.0,11.3,76.0,0,4,5,17
22.0,14.0,10.3,78.0,0,1,5,18
21.5,14.0,9.65,71.75,0,1,5,19
21.67,14.33,8.83,73.67,0,0,5,20
21.33,14.67,8.7,74.0,0,1,5,21
21.67,14.33,7.7,76.5,0,0,5,22
21.0,14.0,8.7,70.75,0,2,5,23
21.0,14.0,8.5,70.75,0,2,6,0
21.0,14.0,8.6,70.5,0,1,6,1
21.0,14.0,8.73,69.5,0,1,6,2
21.67,14.0,8.9,66.83,0,2,6,3
21.5,13.0,8.6,66.25,0,2,6,4
21.5,13.0,8.5,66.25,0,1,6,5
21.67,14.0,7.37,70.33,0,0,6,6
22.0,13.0,6.8,74.75,0,0,6,7
22.0,13.67,6.93,75.33,0,0,6,8
21.5,13.0,9.4,66.75,0,0,6,9
21.0,13.33,10.07,58.5,0,3,6,10
21.0,13.5,10.25,60.25,0,3,6,11
21.0,12.0,10.6,56.83,0,4,6,12
21.5,12.5,10.3,57.75,0,4,6,13
21.67,12.67,9.5,69.0,0,4,6,14
21.0,12.0,8.2,78.5,0,3,6,15
21.0,12.0,7.9,83.0,0,0,6,16
21.0,13.0,7.7,85.5,1,1,6,17
21.0,13.0,7.3,88.5,0,0,6,18
21.33,13.0,7.83,88.0,0,2,6,19
21.0,13.0,7.7,89.5,0,0,6,20
21.67,14.0,6.93,90.67,0,0,6,21
22.0,14.0,5.75,92.25,0,0,6,22
22.0,14.0,4.5,93.5,0,0,6,23
22.0,13.33,4.1,94.0,0,0,7,0
22.0,13.0,3.65,94.25,0,0,7,1
22.0,13.67,3.3,94.33,0,0,7,2
22.0,14.0,2.0,94.5,0,0,7,3
22.0,13.5,1.55,94.75,0,0,7,4
22.0,13.5,1.75,95.0,0,0,7,5
22.0,13.0,2.15,95.0,0,0,7,6
22.0,13.33,1.83,94.67,0,0,7,7
21.5,13.0,3.95,95.0,0,0,7,8
22.0,12.0,5.5,94.5,0,0,7,9
21.0,11.33,10.9,66.0,0,3,7,10
21.0,11.0,12.5,59.17,0,3,7,11
21.0,11.0,13.75,56.0,0,3,7,12
21.0,11.0,13.5,56.5,0,2,7,13
21.0,11.33,14.3,54.67,0,2,7,14
21.0,11.0,13.43,57.33,0,3,7,15
21.0,11.0,11.2,59.0,0,2,7,16
21.0,12.33,9.63,62.83,0,1,7,17
21.5,13.5,7.1,74.5,0,0,7,18
21.33,13.33,6.2,79.5,0,1,7,19
21.5,13.0,5.3,83.5,0,0,7,20
21.33,13.33,4.1,87.5,0,0,7,21
21.67,14.0,4.03,90.17,0,0,7,22
21.0,12.67,8.2,77.5,0,2,7,23
21.5,13.0,7.2,75.75,0,1,8,0
21.0,13.0,7.1,77.5,0,1,8,1
21.0,12.0,5.95,85.75,0,0,8,2
21.67,12.0,6.33,83.67,0,1,8,3
21.0,12.0,7.35,80.0,0,3,8,4
21.5,12.0,7.85,75.75,0,2,8,5
21.33,12.0,8.27,69.67,0,1,8,6
21.0,11.67,9.33,65.33,0,3,8,7
21.0,11.0,10.55,62.5,0,3,8,8
21.0,11.5,10.9,63.75,0,4,8,9
21.0,11.0,12.2,60.75,0,4,8,10
21.0,11.33,10.73,71.83,0,3,8,11
21.0,12.0,10.0,79.5,0,3,8,12
21.0,12.0,8.9,84.0,2,3,8,13
21.33,12.33,10.03,84.83,1,3,8,14
21.67,11.33,10.27,81.67,2,4,8,15
21.5,11.0,9.7,78.75,0,4,8,16
21.0,12.0,9.25,79.75,0,3,8,17
21.5,12.5,9.4,81.5,0,2,8,18
21.0,12.67,10.3,77.17,0,4,8,19
21.0,13.0,10.35,75.75,0,2,8,20
21.0,11.0,10.3,75.25,0,3,8,21
21.33,11.33,10.47,74.0,0,3,8,22
21.5,12.5,10.35,81.5,0,2,8,23
21.0,12.0,10.6,82.5,0,3,9,0
21.0,11.0,10.9,82.5,0,2,9,1
22.0,11.5,11.05,80.75,0,3,9,2
21.0,13.0,11.0,79.5,0,2,9,3
21.0,11.0,10.55,80.25,0,2,9,4
21.0,12.0,10.55,79.25,0,2,9,5
21.0,11.33,10.63,80.83,0,2,9,6
21.0,11.0,11.2,73.0,0,3,9,7
21.0,11.0,11.55,70.5,0,1,9,8
21.0,11.5,11.85,68.5,0,1,9,9
21.0,12.0,12.75,69.0,0,4,9,10
21.0,11.67,12.0,63.17,2,4,9,11
21.0,12.5,11.45,57.5,0,2,9,12
21.0,12.5,11.9,62.75,0,3,9,13
21.0,11.5,11.85,62.25,0,4,9,14
21.5,11.5,11.6,60.25,0,3,9,15
21.0,11.0,11.3,63.75,0,4,9,16
21.0,12.0,10.9,66.0,0,3,9,17
21.0,12.33,10.8,67.0,0,4,9,18
21.0,11.5,11.1,67.25,0,4,9,19
22.0,11.0,11.8,65.5,0,4,9,20
21.33,12.0,11.57,70.0,0,4,9,21
21.33,12.67,11.17,74.0,0,6,9,22
21.33,11.67,10.53,80.67,1,5,9,23
21.0,13.0,11.2,75.5,0,4,10,0
22.0,11.0,11.4,72.5,0,4,10,1
21.5,12.5,10.95,70.5,0,4,10,2
21.33,11.33,10.77,71.83,0,4,10,3
22.0,12.33,8.87,79.67,0,4,10,4
21.67,12.67,9.17,77.5,0,2,10,5
21.67,12.33,8.23,81.83,1,4,10,6
22.0,12.0,8.45,81.75,1,2,10,7
22.0,12.0,7.9,86.0,0,3,10,8
22.0,12.5,7.7,88.0,1,2,10,9
22.0,12.5,7.7,82.5,1,4,10,10
22.0,11.0,13.4,65.0,0,2,10,13
24.0,11.0,11.7,61.25,0,2,10,14
25.0,12.33,10.97,60.0,0,4,10,15
25.33,11.67,11.27,57.5,0,4,10,16
26.0,11.0,10.1,62.0,0,3,10,17
26.0,12.5,8.0,68.5,0,1,10,18
26.33,12.67,8.07,60.83,0,3,10,19
26.0,12.0,7.9,61.5,0,4,10,20
26.5,12.5,8.3,59.5,0,4,10,21
26.0,13.0,7.35,61.0,0,1,10,22
26.5,12.5,7.65,56.25,0,4,10,23
26.0,13.0,7.25,57.25,0,3,11,0
26.0,12.5,6.9,59.0,0,2,11,1
26.0,12.33,6.67,60.17,0,2,11,2
26.0,12.0,7.8,55.83,0,3,11,3
26.0,11.0,7.9,56.5,0,3,11,4
26.0,12.0,8.2,55.5,0,4,11,5
26.0,11.67,8.2,55.67,0,3,11,6
26.0,12.0,6.3,62.5,0,0,11,7
26.0,11.0,5.8,70.5,0,0,11,8
26.0,13.0,6.2,69.0,0,0,11,9
25.33,10.67,10.7,52.33,0,4,11,10
25.33,10.0,12.0,49.67,0,4,11,11
26.0,11.0,12.8,48.5,0,4,11,12
25.5,10.5,12.8,48.5,0,4,11,13
25.33,11.0,13.33,46.5,0,3,11,14
25.5,10.5,12.9,48.25,0,2,11,15
25.33,10.33,12.3,51.33,0,1,11,16
25.0,11.0,11.2,54.5,0,1,11,17
25.0,11.67,6.57,72.5,0,1,11,18
25.5,12.5,4.65,79.25,0,0,11,19
25.5,13.0,4.9,75.25,0,0,11,20
26.0,12.5,4.5,76.25,0,0,11,21
25.67,12.33,2.9,83.83,0,0,11,22
25.5,12.0,3.7,81.0,0,0,11,23
25.0,12.0,2.67,84.0,0,0,12,0
25.0,12.0,2.4,86.5,0,0,12,1
25.0,12.0,2.3,87.0,0,0,12,2
25.33,13.0,1.4,88.67,0,1,12,3
25.0,12.33,3.27,80.83,0,0,12,4
25.0,11.67,3.17,78.17,0,0,12,5
25.0,12.0,2.75,81.25,0,0,12,6
25.0,11.0,1.1,83.33,0,0,12,7
25.0,11.5,5.2,72.5,0,0,12,8
24.0,10.33,8.7,52.67,0,2,12,9
25.0,10.5,10.1,45.75,0,3,12,10
24.5,11.0,11.2,42.75,0,4,12,11
24.0,9.0,11.5,43.0,0,4,12,12
24.0,11.0,11.5,43.0,0,4,12,13
24.33,10.67,11.4,47.0,0,4,12,14
24.5,10.0,10.75,53.0,0,4,12,15
24.0,9.0,9.7,58.0,0,2,12,16
24.33,10.33,8.4,62.67,0,2,12,17
24.0,10.33,6.9,68.5,0,0,12,18
24.33,11.0,6.73,70.5,0,0,12,19
24.0,11.0,8.0,67.0,0,0,12,20
24.0,11.0,8.1,66.0,0,1,12,21
24.0,11.0,9.0,65.17,0,3,12,22
24.0,11.0,9.0,66.0,0,3,12,23
24.0,11.0,9.0,67.5,0,3,13,0
25.0,11.0,9.0,67.5,0,2,13,1
24.0,11.0,8.0,70.33,0,3,13,2
24.5,11.0,8.65,68.75,0,2,13,3
24.0,11.0,8.7,67.75,0,3,13,4
24.0,11.0,7.97,70.67,0,3,13,5
24.0,11.33,7.97,70.83,0,2,13,6
24.0,11.0,6.5,76.25,0,1,13,7
24.0,11.0,8.17,71.67,0,1,13,8
24.0,10.0,10.1,66.0,0,1,13,9
24.0,10.0,13.83,52.83,0,1,13,10
24.0,9.67,14.53,52.67,0,1,13,11
24.0,10.0,16.95,45.25,0,1,13,12
24.0,10.0,14.77,51.0,0,1,13,13
24.0,10.67,16.0,48.5,0,2,13,14
24.33,10.33,13.3,55.33,0,1,13,15
24.0,11.33,12.03,61.5,0,1,13,16
24.33,11.33,10.47,70.5,0,0,13,17
24.0,11.33,9.53,73.33,0,0,13,18
24.5,11.5,8.5,77.75,0,0,13,19
24.0,11.0,9.0,75.0,0,0,13,20
24.0,11.0,8.6,77.0,0,0,13,21
24.33,12.0,4.7,87.0,0,0,13,22
24.67,13.33,3.23,89.67,0,0,13,23
24.0,13.0,2.9,91.5,0,0,14,0
24.5,12.5,2.35,92.5,0,0,14,1
25.0,13.5,2.05,93.0,0,0,14,2
25.0,13.0,2.23,93.83,0,0,14,3
25.0,13.0,0.7,94.0,0,0,14,4
25.0,13.0,0.8,94.0,0,0,14,5
24.0,12.67,1.37,94.83,0,0,14,6
24.0,12.33,0.63,94.83,0,0,14,7
24.5,12.5,4.65,94.5,0,0,14,8
24.0,11.0,6.4,92.5,0,0,14,9
23.67,10.33,16.03,53.5,0,0,14,10
23.0,9.0,14.45,55.0,0,0,14,11
23.0,10.0,14.9,55.0,0,2,14,12
23.33,10.67,14.67,56.83,0,2,14,13
23.0,11.0,14.05,58.25,0,3,14,14
24.0,10.0,13.4,61.25,0,2,14,15
24.0,10.33,12.13,63.33,0,2,14,16
24.0,11.0,9.37,73.33,0,1,14,17
24.0,12.0,6.67,84.83,0,1,14,18
24.0,12.33,5.07,88.0,0,0,14,19
24.0,12.67,3.67,90.67,0,0,14,20
24.0,12.0,3.3,91.5,0,0,14,21
24.33,13.33,2.53,93.33,0,0,14,22
24.0,13.0,1.43,94.0,0,0,14,23
24.0,14.0,0.9,94.5,0,0,15,0
24.0,14.0,0.3,94.5,0,0,15,1
24.0,13.0,0.9,95.0,0,0,15,2
24.33,13.0,-0.33,95.0,0,0,15,3
24.0,12.0,-0.5,95.0,0,0,15,4
24.0,12.0,-0.85,95.0,0,0,15,5
24.0,12.33,-0.73,95.5,0,0,15,6
24.0,12.0,-0.63,95.5,0,0,15,7
24.0,11.5,3.4,94.75,0,0,15,8
24.0,11.0,7.0,94.0,0,0,15,9
23.0,9.5,14.45,57.75,0,0,15,10
23.0,9.33,15.8,53.67,0,1,15,11
23.0,10.0,15.0,54.17,0,1,15,12
23.0,9.0,14.8,55.0,0,1,15,13
23.0,9.0,15.25,50.75,0,1,15,14
23.0,10.5,13.4,59.25,0,3,15,15
23.67,10.67,12.53,61.33,0,2,15,16
23.0,10.0,11.6,64.5,0,1,15,17
23.0,11.0,7.05,82.75,0,0,15,18
24.0,12.5,4.85,88.75,0,0,15,19
23.0,12.5,3.8,90.25,0,0,15,20
24.0,12.0,3.5,91.5,0,0,15,21
24.0,12.67,1.93,93.0,0,0,15,22
24.0,13.0,1.8,93.83,0,0,15,23
24.0,12.0,1.15,94.25,0,0,16,0
24.0,12.33,1.23,94.67,0,0,16,1
24.0,12.0,1.5,95.0,0,0,16,2
23.5,12.5,0.85,95.0,0,0,16,3
24.0,12.0,0.95,95.5,0,0,16,4
24.0,11.0,0.5,95.5,0,0,16,5
23.5,11.5,0.4,95.5,0,0,16,6
24.0,12.33,0.5,95.83,0,0,16,7
23.5,11.0,2.6,95.5,0,0,16,8
23.0,10.0,9.6,84.0,0,0,16,9
23.0,10.0,14.8,62.25,0,0,16,10
23.0,9.0,13.75,59.5,0,1,16,11
23.0,9.0,14.05,56.75,0,2,16,12
23.0,9.0,14.23,56.0,0,2,16,13
23.0,9.0,14.0,57.0,0,3,16,14
23.0,9.67,13.47,58.17,0,3,16,15
23.0,11.0,12.3,62.0,0,2,16,16
23.0,10.33,10.77,66.67,0,2,16,17
23.0,11.0,9.65,70.75,0,0,16,18
23.0,11.0,6.15,84.5,0,1,16,20
23.0,11.5,6.0,85.25,0,1,16,21
23.0,11.67,6.23,84.17,0,1,16,22
23.5,11.5,6.05,83.75,0,0,16,23
23.33,11.33,6.5,84.5,0,1,17,0
23.0,12.0,5.55,84.25,0,1,17,1
23.5,12.0,5.15,87.25,0,1,17,2
23.0,11.0,5.25,86.0,0,0,17,3
23.0,11.5,4.2,87.75,0,1,17,4
23.33,11.33,2.87,89.5,0,0,17,5
24.0,11.33,2.13,91.5,0,0,17,6
23.0,11.5,1.7,93.0,0,0,17,7
23.5,11.5,7.15,90.25,0,0,17,8
23.0,11.0,11.5,76.5,0,0,17,9
23.0,10.5,14.8,57.5,0,0,17,10
22.0,9.0,13.65,57.75,0,3,17,11
22.0,9.0,14.2,56.5,0,3,17,12
22.33,10.0,14.43,57.5,0,3,17,13
23.0,9.5,14.05,57.25,0,3,17,14
22.5,11.0,13.15,58.75,0,3,17,15
23.0,11.0,11.7,66.0,0,2,17,16
23.0,11.0,10.45,70.0,0,2,17,17
23.0,11.0,8.0,79.67,0,1,17,18
23.0,11.5,7.75,81.75,0,0,17,19
23.0,11.5,9.25,76.5,0,1,17,20
23.0,11.0,10.1,71.5,0,1,17,21
23.0,11.5,9.75,74.5,0,0,17,22
23.0,11.33,8.8,77.83,0,0,17,23
23.0,12.0,8.63,78.0,0,0,18,0
23.0,11.33,8.97,75.83,0,0,18,1
23.0,12.33,8.97,75.33,0,0,18,2
23.0,12.0,8.4,79.5,0,0,18,3
23.0,11.67,7.53,84.67,0,0,18,4
23.0,11.5,7.25,85.5,0,0,18,5
23.0,11.5,6.65,87.5,0,0,18,6
23.33,12.0,4.57,90.0,0,0,18,7
23.0,11.0,9.65,77.0,0,0,18,8
22.67,10.67,13.9,60.0,0,0,18,9
22.33,11.0,13.4,57.33,0,0,18,10
23.0,11.5,13.75,57.5,0,1,18,11
22.0,11.0,14.3,58.0,0,1,18,12
22.0,11.0,15.0,53.5,0,0,18,13
23.0,11.5,14.85,56.5,0,2,18,14
23.0,11.0,13.93,58.17,0,2,18,15
23.0,11.0,12.6,62.0,0,2,18,16
22.0,12.0,12.2,63.5,0,1,18,17
23.0,13.0,7.85,81.5,0,1,18,18
23.0,12.33,5.63,88.17,0,0,18,19
23.0,12.0,4.2,90.5,0,0,18,20
23.0,13.0,3.6,91.0,0,0,18,21
23.33,14.0,2.77,92.5,0,0,18,22
24.0,14.67,2.57,93.67,0,0,18,23
23.67,13.33,3.8,94.33,0,0,19,0
23.5,14.0,5.05,94.5,0,0,19,1
23.0,14.0,5.8,94.5,0,0,19,2
23.0,12.33,6.0,94.17,0,0,19,3
23.0,13.0,4.37,94.33,0,0,19,4
23.5,13.0,3.75,94.25,0,0,19,5
23.33,12.33,4.2,94.5,0,0,19,6
23.0,13.0,3.0,94.5,0,0,19,7
23.0,12.5,6.4,95.0,0,0,19,8
23.0,11.33,8.83,89.5,0,0,19,9
22.0,11.33,12.47,69.67,0,0,19,10
23.0,11.0,15.45,53.0,0,0,19,11
22.0,11.0,14.5,58.0,0,1,19,12
22.0,10.0,14.4,55.0,0,1,19,13
22.67,11.0,14.23,56.17,0,1,19,14
22.67,11.0,13.97,58.67,0,2,19,15
22.0,11.0,12.83,61.33,0,2,19,16
22.5,11.5,10.35,72.25,0,1,19,17
22.5,12.5,8.65,81.75,0,0,19,18
22.5,13.5,7.2,84.25,0,0,19,19
23.0,12.0,5.2,88.0,0,0,19,20
23.0,14.0,4.3,89.0,0,0,19,21
23.0,13.0,2.6,91.5,0,0,19,22
23.5,14.5,1.9,93.0,0,0,19,23
23.0,14.5,1.8,93.75,0,0,20,0
23.0,14.0,1.55,94.0,0,0,20,1
23.33,14.0,1.2,94.67,0,0,20,2
23.0,13.0,1.0,95.0,0,0,20,3
23.5,13.5,0.7,95.0,0,0,20,4
23.0,13.5,1.35,95.25,0,0,20,5
23.0,12.0,4.27,95.5,0,0,20,6
23.0,13.0,5.1,95.5,0,0,20,7
22.0,11.5,5.85,95.5,0,0,20,8
22.0,11.5,7.6,95.5,0,0,20,9
22.0,11.0,9.25,94.25,0,0,20,10
22.0,10.5,12.3,72.25,0,1,20,11
22.0,11.0,12.1,63.75,0,2,20,12
22.5,11.5,11.55,66.75,0,2,20,13
22.0,11.0,11.65,64.0,0,3,20,14
22.0,11.0,10.8,68.5,0,3,20,15
22.33,11.67,10.87,68.67,0,2,20,16
22.0,11.0,10.3,75.0,0,2,20,17
22.0,11.0,9.2,84.0,0,1,20,18
22.33,11.67,9.0,85.5,0,2,20,19
22.67,11.67,9.03,85.17,0,1,20,20
22.5,11.5,8.7,81.5,0,1,20,21
23.0,13.0,7.05,84.25,0,1,20,22
23.0,12.0,5.95,85.75,0,0,20,23
22.5,12.0,5.75,88.25,0,0,21,0
23.0,12.0,6.07,87.67,0,0,21,1
23.0,13.0,5.75,88.5,0,0,21,2
22.5,12.5,6.35,88.25,0,0,21,3
22.5,12.0,7.4,85.5,0,1,21,4
23.0,12.33,7.73,84.67,0,2,21,5
22.33,12.33,7.57,86.0,2,2,21,6
23.0,12.5,7.05,82.0,0,1,21,7
22.33,11.67,8.1,76.83,0,2,21,8
22.0,11.67,9.47,67.67,0,2,21,9
22.0,11.5,10.25,66.0,0,3,21,10
22.0,11.0,10.95,61.0,0,4,21,11
22.0,11.0,11.2,57.0,0,4,21,12
22.0,11.0,11.6,56.5,0,4,21,13
22.0,11.0,11.35,59.25,0,4,21,14
22.33,11.0,10.6,62.67,0,4,21,15
22.0,11.0,10.0,67.0,0,3,21,16
22.5,11.5,8.95,70.5,0,2,21,17
22.0,13.0,7.15,76.25,0,0,21,18
22.33,12.67,7.47,75.17,0,0,21,19
22.5,12.5,6.45,81.75,0,0,21,20
22.0,13.0,6.3,85.0,0,0,21,21
22.33,11.67,7.67,86.67,0,1,21,22
22.0,13.0,7.17,90.5,0,0,21,23
22.0,13.0,5.8,92.5,0,0,22,0
22.5,13.5,4.85,92.75,0,0,22,1
22.0,13.0,3.2,93.0,0,0,22,2
22.5,14.0,3.2,94.25,0,0,22,3
22.0,12.5,3.2,94.5,0,0,22,4
22.0,12.67,2.53,94.5,0,0,22,5
22.0,13.5,3.5,94.5,0,0,22,6
22.33,12.67,2.43,94.5,0,0,22,7
22.0,12.0,6.35,91.5,0,0,22,8
21.5,11.0,9.85,79.25,0,0,22,9
21.0,10.0,16.1,53.5,0,0,22,10
22.0,11.0,17.4,45.83,0,1,22,11
22.0,11.0,14.9,49.75,0,1,22,12
22.0,11.0,15.45,50.0,0,2,22,13
22.0,11.0,14.37,53.0,0,3,22,14
22.0,11.33,13.33,54.33,0,2,22,15
22.0,11.0,12.2,58.0,0,2,22,16
22.0,11.0,11.8,66.5,0,1,22,17
22.0,12.67,9.0,71.5,0,0,22,18
22.5,12.0,6.4,76.75,0,1,22,19
22.5,12.5,5.0,81.5,0,0,22,20
22.0,13.0,3.7,85.0,0,0,22,21
22.5,13.5,2.2,89.5,0,0,22,22
22.67,14.0,2.13,90.33,0,0,22,23
22.0,14.0,1.27,91.0,0,0,23,0
23.0,13.0,1.1,92.0,0,0,23,1
22.33,14.33,1.0,92.67,0,0,23,2
22.5,14.0,1.25,93.5,0,0,23,3
22.0,13.5,0.25,93.75,0,0,23,4
22.0,13.0,0.1,94.0,0,0,23,5
22.33,13.67,-0.03,94.5,0,0,23,6
22.0,12.0,-0.25,94.75,0,0,23,7
22.0,11.0,8.0,93.0,0,0,23,8
21.5,10.5,11.55,75.75,0,0,23,9
21.33,10.0,14.03,57.17,0,1,23,10
21.0,10.0,15.05,53.5,0,0,23,11
21.0,10.0,12.4,61.5,0,0,23,12
22.0,10.0,13.65,56.5,0,0,23,13
21.0,11.0,15.15,52.0,0,1,23,14
21.0,10.5,14.95,52.0,0,2,23,15
22.0,10.67,13.4,55.83,0,2,23,16
22.0,11.0,10.5,66.83,0,1,23,17
21.0,11.0,6.9,81.0,0,0,23,18
22.0,12.5,4.3,88.0,0,0,23,19
22.0,11.0,3.3,90.0,0,0,23,20
22.0,12.0,3.1,90.75,0,0,23,21
22.0,13.33,2.3,92.17,0,0,23,22
22.0,12.5,1.4,93.25,0,0,23,23
22.0,13.0,2.5,94.25,0,0,24,0
22.0,12.5,2.45,94.25,0,1,24,1
22.0,13.33,0.77,94.17,0,0,24,2
22.0,12.33,1.07,94.83,0,1,24,3
22.0,14.0,-0.1,95.0,0,0,24,4
22.0,13.0,0.0,95.0,0,0,24,5
22.0,12.0,0.63,95.33,0,0,24,6
22.5,12.5,-0.2,95.5,0,0,24,7
21.5,10.5,5.1,94.5,0,0,24,8
21.5,10.0,11.5,74.0,0,0,24,9
21.0,9.67,14.87,53.83,0,1,24,10
21.0,9.5,16.05,46.75,0,0,24,11
21.0,9.0,15.45,50.75,0,1,24,12
21.0,9.0,15.3,51.0,0,2,24,13
21.0,9.5,15.2,49.75,0,2,24,14
21.0,9.67,13.87,54.17,0,2,24,15
21.0,10.5,12.55,62.75,0,2,24,16
22.0,10.5,9.95,74.5,0,1,24,17
21.0,10.5,6.8,85.75,0,0,24,18
22.0,11.5,5.3,90.5,0,0,24,19
22.0,12.0,3.6,92.0,0,0,24,20
22.0,12.5,3.1,92.25,0,0,24,21
22.0,12.67,2.3,93.67,0,0,24,22
22.0,13.33,1.77,94.17,0,0,24,23
22.0,12.0,1.9,94.75,0,0,25,0
22.0,13.5,1.15,94.75,0,0,25,1
22.0,14.0,1.95,95.25,0,0,25,2
22.0,14.0,0.7,95.5,0,0,25,3
22.0,13.0,0.7,95.5,0,0,25,4
22.0,12.0,1.5,95.5,0,0,25,5
22.0,11.0,0.7,95.5,0,0,25,6
